Year;"NCM Code";"NCM Description";Country;State;"Economic Block";Via;URF;"US$ FOB";"Net Weight";Quantity
2023;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Paraguay;"Rio Grande do Sul";"Southern Common Market (MERCOSUL)";RODOVIARIA;"0917500 - ALF - FOZ DO IGUAÇU";3243445;2175099;2176352
2023;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Paraguay;"Rio Grande do Sul";"South America";RODOVIARIA;"0917500 - ALF - FOZ DO IGUAÇU";3243445;2175099;2176352
2023;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Uruguay;"Rio Grande do Sul";"Southern Common Market (MERCOSUL)";RODOVIARIA;"1010351 - IRF SANTANA DO LIVRAMENTO";383110;305346;304341
2023;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Uruguay;"Rio Grande do Sul";"South America";RODOVIARIA;"1010351 - IRF SANTANA DO LIVRAMENTO";383110;305346;304341
2023;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Paraguay;"São Paulo";"South America";RODOVIARIA;"0917500 - ALF - FOZ DO IGUAÇU";344475;233922;238995
2023;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Paraguay;"São Paulo";"Southern Common Market (MERCOSUL)";RODOVIARIA;"0917500 - ALF - FOZ DO IGUAÇU";344475;233922;238995
2023;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Haiti;"Rio Grande do Sul";"Central America and Caribbean";MARITIMA;"1017700 - PORTO DE RIO GRANDE";233811;154395;155034
2023;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Venezuela;"Rio Grande do Sul";"South America";RODOVIARIA;"0260151 - PACARAIMA";163280;105750;105750
2023;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";"United States";"Rio Grande do Sul";"North America";MARITIMA;"1017700 - PORTO DE RIO GRANDE";155125;85388;85388
2023;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Haiti;"Rio Grande do Sul";"Central America and Caribbean";MARITIMA;"0927800 - ITAJAI";112028;76860;76860
2023;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Paraguay;Paraná;"South America";RODOVIARIA;"0917500 - ALF - FOZ DO IGUAÇU";82056;45578;27731
2023;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Paraguay;Paraná;"Southern Common Market (MERCOSUL)";RODOVIARIA;"0917500 - ALF - FOZ DO IGUAÇU";82056;45578;27731
2023;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";China;Pernambuco;"Asia (minus MIDDLE EAST)";MARITIMA;"0817800 - PORTO DE SANTOS";75341;39155;21150
2023;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Paraguay;"Rio Grande do Sul";"South America";RODOVIARIA;"0147800 - ALF - PONTA PORÃ";54982;34200;34200
2023;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Paraguay;"Rio Grande do Sul";"Southern Common Market (MERCOSUL)";RODOVIARIA;"0147800 - ALF - PONTA PORÃ";54982;34200;34200
2023;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Peru;"Rio Grande do Sul";"South America";MARITIMA;"1017700 - PORTO DE RIO GRANDE";45752;28890;28878
2023;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Peru;"Rio Grande do Sul";"Andean Community";MARITIMA;"1017700 - PORTO DE RIO GRANDE";45752;28890;28878
2023;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Guyana;"Rio Grande do Sul";"South America";MARITIMA;"1017700 - PORTO DE RIO GRANDE";40134;16641;15849
