Continent,Region/Country,Product,Variable,Year,Unit,Quantity
America,Argentina,Vineyard,Surface Area,1995,ha, 210 390
America,Argentina,Vineyard,Surface Area,1996,ha, 210 635
America,Argentina,Vineyard,Surface Area,1997,ha, 209 042
America,Argentina,Vineyard,Surface Area,1998,ha, 210 448
America,Argentina,Vineyard,Surface Area,1999,ha, 208 137
America,Argentina,Vineyard,Surface Area,2000,ha, 201 113
America,Argentina,Vineyard,Surface Area,2001,ha, 204 100
America,Argentina,Vineyard,Surface Area,2002,ha, 207 980
America,Argentina,Vineyard,Surface Area,2003,ha, 210 500
America,Argentina,Vineyard,Surface Area,2004,ha, 212 700
America,Argentina,Vineyard,Surface Area,2005,ha, 218 600
America,Argentina,Vineyard,Surface Area,2006,ha, 223 034
America,Argentina,Vineyard,Surface Area,2007,ha, 225 845
America,Argentina,Vineyard,Surface Area,2008,ha, 226 450
America,Argentina,Vineyard,Surface Area,2009,ha, 229 000
America,Argentina,Vineyard,Surface Area,2010,ha, 217 751
America,Argentina,Vineyard,Surface Area,2011,ha, 219 476
America,Argentina,Vineyard,Surface Area,2012,ha, 221 909
America,Argentina,Vineyard,Surface Area,2013,ha, 223 811
America,Argentina,Vineyard,Surface Area,2014,ha, 227 645
America,Argentina,Vineyard,Surface Area,2015,ha, 224 967
America,Argentina,Vineyard,Surface Area,2016,ha, 224 258
America,Argentina,Vineyard,Surface Area,2017,ha, 221 568
America,Argentina,Vineyard,Surface Area,2018,ha, 218 233
America,Argentina,Vineyard,Surface Area,2019,ha, 215 169
America,Argentina,Vineyard,Surface Area,2020,ha, 214 798
America,Argentina,Vineyard,Surface Area,2021,ha, 211 099
America,Argentina,Vineyard,Surface Area,2022,ha, 207 047
America,Bolivia,Vineyard,Surface Area,1995,ha, 3 755
America,Bolivia,Vineyard,Surface Area,1996,ha, 3 869
America,Bolivia,Vineyard,Surface Area,1997,ha, 4 071
America,Bolivia,Vineyard,Surface Area,1998,ha, 3 970
America,Bolivia,Vineyard,Surface Area,1999,ha, 3 899
America,Bolivia,Vineyard,Surface Area,2000,ha, 3 779
America,Bolivia,Vineyard,Surface Area,2001,ha, 2 155
America,Bolivia,Vineyard,Surface Area,2002,ha, 2 549
America,Bolivia,Vineyard,Surface Area,2003,ha, 4 000
America,Bolivia,Vineyard,Surface Area,2004,ha, 5 268
America,Bolivia,Vineyard,Surface Area,2005,ha, 5 265
America,Bolivia,Vineyard,Surface Area,2006,ha, 5 313
America,Bolivia,Vineyard,Surface Area,2007,ha, 5 405
America,Bolivia,Vineyard,Surface Area,2008,ha, 5 375
America,Bolivia,Vineyard,Surface Area,2009,ha, 5 590
America,Bolivia,Vineyard,Surface Area,2010,ha, 4 439
America,Bolivia,Vineyard,Surface Area,2011,ha, 4 452
America,Bolivia,Vineyard,Surface Area,2012,ha, 4 786
America,Bolivia,Vineyard,Surface Area,2013,ha, 4 858
America,Bolivia,Vineyard,Surface Area,2014,ha, 3 200
America,Bolivia,Vineyard,Surface Area,2015,ha, 3 244
America,Bolivia,Vineyard,Surface Area,2016,ha, 3 283
America,Bolivia,Vineyard,Surface Area,2017,ha, 3 426
America,Bolivia,Vineyard,Surface Area,2018,ha, 3 500
America,Bolivia,Vineyard,Surface Area,2019,ha, 3 577
America,Bolivia,Vineyard,Surface Area,2020,ha, 3 610
America,Bolivia,Vineyard,Surface Area,2021,ha, 4 264
America,Brazil,Vineyard,Surface Area,1995,ha, 61 339
America,Brazil,Vineyard,Surface Area,1996,ha, 56 247
America,Brazil,Vineyard,Surface Area,1997,ha, 57 036
America,Brazil,Vineyard,Surface Area,1998,ha, 61 099
America,Brazil,Vineyard,Surface Area,1999,ha, 60 528
America,Brazil,Vineyard,Surface Area,2000,ha, 63 000
America,Brazil,Vineyard,Surface Area,2001,ha, 68 585
America,Brazil,Vineyard,Surface Area,2002,ha, 70 305
America,Brazil,Vineyard,Surface Area,2003,ha, 73 423
America,Brazil,Vineyard,Surface Area,2004,ha, 76 433
America,Brazil,Vineyard,Surface Area,2005,ha, 78 690
America,Brazil,Vineyard,Surface Area,2006,ha, 82 924
America,Brazil,Vineyard,Surface Area,2007,ha, 86 158
America,Brazil,Vineyard,Surface Area,2008,ha, 91 896
America,Brazil,Vineyard,Surface Area,2009,ha, 90 860
America,Brazil,Vineyard,Surface Area,2010,ha, 92 070
America,Brazil,Vineyard,Surface Area,2011,ha, 90 107
America,Brazil,Vineyard,Surface Area,2012,ha, 90 958
America,Brazil,Vineyard,Surface Area,2013,ha, 89 768
America,Brazil,Vineyard,Surface Area,2014,ha, 88 634
